id,tweet_url,created_at,parsed_created_at,user_screen_name,text,tweet_type,coordinates,hashtags,media,urls,favorite_count,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_or_quote_id,retweet_or_quote_screen_name,retweet_or_quote_user_id,source,user_id,user_created_at,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_statuses_count,user_time_zone,user_urls,user_verified
9.91105E+17,https://twitter.com/occupytheory/status/991104786429816832,Mon Apr 30 23:59:29 +0000 2018,2018-04-30 23:59:29+00:00,occupytheory,RT @occupytheory: More on the Brooklyn Museumâ€™s crisis as ignored the communities at its door step in @ARTnewsmag #decolonizethisplace #Decâ€_,retweet,,decolonizethisplace,,,0,,,,en,,FALSE,4,9.91046E+17,occupytheory,472499685,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",472499685,Tue Jan 24 00:52:34 +0000 2012,FALSE,TIDAL conversations launch theories and strategies towards ACTION - online and in print.,4733,7308,4422,327,Occupy Wall Street,Occupy Theory,20231,Atlantic Time (Canada),http://www.decolonizethisplace.org,FALSE
9.91105E+17,https://twitter.com/occupytheory/status/991104766754410496,Mon Apr 30 23:59:24 +0000 2018,2018-04-30 23:59:24+00:00,occupytheory,"RT @LocaVibes: Protesters Occupy Brooklyn Museum Atrium, Demanding Decolonization Commission https://t.co/JpEqIwQLR6 via @hyperallergic #deâ€_",retweet,,,,https://hyperallergic.com/440426/protesters-occupy-brooklyn-museum-atrium-demanding-decolonization-commission/?utm_source=twitter&utm_medium=social&utm_campaign=sw,0,,,,en,,FALSE,1,9.91098E+17,LocaVibes,1176457374,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",472499685,Tue Jan 24 00:52:34 +0000 2012,FALSE,TIDAL conversations launch theories and strategies towards ACTION - online and in print.,4733,7308,4422,327,Occupy Wall Street,Occupy Theory,20231,Atlantic Time (Canada),http://www.decolonizethisplace.org,FALSE
9.91105E+17,https://twitter.com/occupytheory/status/991104747972198400,Mon Apr 30 23:59:20 +0000 2018,2018-04-30 23:59:20+00:00,occupytheory,"RT @BrujaRebel: Protesters Occupy Brooklyn Museum Atrium, Demanding Decolonization Commission https://t.co/tSJyRrOY40 via @hyperallergic #dâ€_",retweet,,,,https://hyperallergic.com/440426/protesters-occupy-brooklyn-museum-atrium-demanding-decolonization-commission/?utm_source=twitter&utm_medium=social&utm_campaign=sw,0,,,,en,,FALSE,1,9.91098E+17,BrujaRebel,28538579,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",472499685,Tue Jan 24 00:52:34 +0000 2012,FALSE,TIDAL conversations launch theories and strategies towards ACTION - online and in print.,4733,7308,4422,327,Occupy Wall Street,Occupy Theory,20231,Atlantic Time (Canada),http://www.decolonizethisplace.org,FALSE
9.91098E+17,https://twitter.com/BrujaRebel/status/991098173149106176,Mon Apr 30 23:33:12 +0000 2018,2018-04-30 23:33:12+00:00,BrujaRebel,"Protesters Occupy Brooklyn Museum Atrium, Demanding Decolonization Commission https://t.co/tSJyRrOY40 via @hyperallergic #decolonizebrooklynmuseum #decolonizethisplace #decolonizenow",original,,decolonizebrooklynmuseum decolonizethisplace decolonizenow,,https://hyperallergic.com/440426/protesters-occupy-brooklyn-museum-atrium-demanding-decolonization-commission/?utm_source=twitter&utm_medium=social&utm_campaign=sw,1,,,,en,,FALSE,1,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",28538579,Fri Apr 03 10:38:37 +0000 2009,FALSE,"Cuando la tiranÃ_a es leyâ€_ don't assimilate, infiltrate._Ÿè´AfroNDN rev muse de Brooklyn_Ÿ’‹ Artivist, Community Organizer, Host @LocaVibes Radio & ShamÃ¡n in training.",8726,1697,2654,0,"Brooklyn, NYC",Brujaâ˜†Rebel,8012,Eastern Time (US & Canada),http://rfb.nyc/locavibesradio,FALSE
9.91098E+17,https://twitter.com/LocaVibes/status/991097521786249217,Mon Apr 30 23:30:37 +0000 2018,2018-04-30 23:30:37+00:00,LocaVibes,"Protesters Occupy Brooklyn Museum Atrium, Demanding Decolonization Commission https://t.co/JpEqIwQLR6 via @hyperallergic #decolonizebrooklynmuseum #decolonizethisplace #decolonizenow",original,,decolonizebrooklynmuseum decolonizethisplace decolonizenow,,https://hyperallergic.com/440426/protesters-occupy-brooklyn-museum-atrium-demanding-decolonization-commission/?utm_source=twitter&utm_medium=social&utm_campaign=sw,1,,,,en,,FALSE,1,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1176457374,Wed Feb 13 18:23:09 +0000 2013,FALSE,"_Ÿè´Latinx guerrilla radio in spanglish de Bklyn pa'l mundo, feat. local activistas + artists y musica del #AfroNDN diaspora, desde las entraÃ±as del monstruo-NYC.",3342,689,1294,28,"Brooklyn, NY",Loca Vibes Radio_Ÿ_™_Ÿ“»â_¡,4363,,http://rfb.nyc/locavibesradio,FALSE
9.91085E+17,https://twitter.com/BorisRorer/status/991085173990199296,Mon Apr 30 22:41:33 +0000 2018,2018-04-30 22:41:33+00:00,BorisRorer,"RT @occupytheory: Just out in @hyperallergic by @hragv about the Brooklyn Museum. A must read.#decolonizethisplace #decolonizebrooklynmusâ€_",retweet,,decolonizethisplace,,,0,,,,en,,,8,9.91029E+17,occupytheory,472499685,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1489350132,Fri Jun 07 03:17:21 +0000 2013,FALSE,"St Petersburg Russia, Princeton NJ, OccuEvolve NYC2Palestine LaundryWorkersCenter T.P.P.Resistance AmnestyInternational #SomosVisible #DecolonizeThisPlace",1759,444,1136,41,,boris rorer,23455,,https://m.facebook.com/boris.rorer?ref=bookmarks,FALSE
9.91085E+17,https://twitter.com/NadeemGibran/status/991084645277143040,Mon Apr 30 22:39:27 +0000 2018,2018-04-30 22:39:27+00:00,NadeemGibran,Excellent article on our demonstration by @gothamist ! #decolonizebrooklynmuseum https://t.co/ONTQEEaQxN,quote,,decolonizebrooklynmuseum,,https://twitter.com/gothamist/status/990979858372100098,3,,,,en,"Brooklyn, NY",FALSE,1,9.9098E+17,Gothamist,810424,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",7.5529E+17,Tue Jul 19 06:34:01 +0000 2016,FALSE,Brooklyn Born & Raised Poet/Music Blogger/Activist Freelance Videographer/Journalist Former Ground Ops @jetblue /Musician/Organizing w BAN Gentrification & E4F,9344,2219,3176,21,"Brooklyn, NY",Nadeem Gibran Salaam,3260,Eastern Time (US & Canada),https://beforeitsgone.co/stories/5W2gOl,FALSE
9.91083E+17,https://twitter.com/maralbabai/status/991082932403163139,Mon Apr 30 22:32:39 +0000 2018,2018-04-30 22:32:39+00:00,maralbabai,"""Sunday's protest was the latest escalation in an ongoing effort by the activist coalition to bring the Brooklyn Museum and Botanical Gardens to the table to discuss forming a Decolonization Commission.."" #DecolonizeThisPlace #DecolonizeBrooklynMuseum https://t.co/fm3ycS63in",quote,,DecolonizeThisPlace DecolonizeBrooklynMuseum,,https://twitter.com/Gothamist/status/990979858372100098,2,,,,en,,FALSE,2,9.9098E+17,Gothamist,810424,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2788436192,Wed Sep 03 18:53:29 +0000 2014,FALSE,"arts administrator in support of the intersection of arts, organizing, advocacy, and equity, all sprinkled with some cheese and pepper flakes.",614,114,428,0,"Brooklyn, NY",Maral,1530,Eastern Time (US & Canada),,FALSE
9.91068E+17,https://twitter.com/genesi999/status/991068443934937088,Mon Apr 30 21:35:04 +0000 2018,2018-04-30 21:35:04+00:00,genesi999,RT @AshAgony: â€œWe are here to address the structural issues of this institution!â€ù Shellyne of @takebackBX speaking during the #DecolonizeThâ€_,retweet,,,,,0,,,,en,,,11,9.90684E+17,AshAgony,809115114,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",307448429,Sun May 29 17:12:55 +0000 2011,FALSE,"the world can be better,is a duty to help others, is a right self-improvement , the answer lies in our heart, do the right thing",1465,541,1960,48,Italy,genesi999,25259,Rome,http://mrlux999.blogspot.it/,FALSE
9.91061E+17,https://twitter.com/derek_healey/status/991061261264785408,Mon Apr 30 21:06:32 +0000 2018,2018-04-30 21:06:32+00:00,derek_healey,"RT @AshAgony: Earlier today, #DecolonizeThisPlace was at the Brooklyn Museum demanding that the board #DecolonizeBrooklynMuseum. Hereâ€™s somâ€_",retweet,,DecolonizeThisPlace DecolonizeBrooklynMuseum,,,0,,,,en,,,18,9.90744E+17,AshAgony,809115114,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",7.02179E+17,Tue Feb 23 17:10:00 +0000 2016,FALSE,"Barefoot Anthropologist, Abolitionist, Anti-racism Advocate",233,18,78,1,"Albany, NY",Derek James Healey,94,,http://facebook.com/healey.derek,FALSE
9.91061E+17,https://twitter.com/derek_healey/status/991060961099485184,Mon Apr 30 21:05:20 +0000 2018,2018-04-30 21:05:20+00:00,derek_healey,RT @maralbabai: â€œWe are here today because Chinatown is not the only community to face massive displacement... we are here to say no to genâ€_,retweet,,,,,0,,,,en,,,20,9.90638E+17,maralbabai,2788436192,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",7.02179E+17,Tue Feb 23 17:10:00 +0000 2016,FALSE,"Barefoot Anthropologist, Abolitionist, Anti-racism Advocate",233,18,78,1,"Albany, NY",Derek James Healey,94,,http://facebook.com/healey.derek,FALSE
9.91061E+17,https://twitter.com/derek_healey/status/991060672988532737,Mon Apr 30 21:04:12 +0000 2018,2018-04-30 21:04:12+00:00,derek_healey,RT @maralbabai: â€œWe must understand gentrification for what it is: modern day colonialism â€œ #decolonizebrooklynmuseum #decolonizethisplaceâ€_,retweet,,decolonizebrooklynmuseum decolonizethisplace,,,0,,,,en,,,29,9.90635E+17,maralbabai,2788436192,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",7.02179E+17,Tue Feb 23 17:10:00 +0000 2016,FALSE,"Barefoot Anthropologist, Abolitionist, Anti-racism Advocate",233,18,78,1,"Albany, NY",Derek James Healey,94,,http://facebook.com/healey.derek,FALSE
